,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
9699,Achaler,Subcenter,Achaler,Achaler,Osmanabad,413608.0,24752259157,17.724044,76.3984537,0.0,SubCentre,Maharashtra,Osmanabad,Lohara,Lohara
9700,Hirlok,Primary Health Center Hirlok,Hirlok Road,Garmpanchyt Near,Garmpanchyt Near,416520.0,02362/245016,16.181621,73.747786,0.0,Primary Health Centre,Maharashtra,Sindhudurg,Kudal,Kudal
9701,Deulgaon Ba.,Deulgaon Ba.,Deulgaon Ba.,Deulgaon Ba.,Deulgaon Ba.,431113.0,,20.38450833,75.461175,0.0,SubCentre,Maharashtra,Aurangabad,Sillod,Sillod
9702,Ladegaon,SC ladegaon,286,garampachayat near,ladegaon,415401.0,2342255536,16.961904999999998,74.224663,0.0,SubCentre,Maharashtra,Sangli,Walwa,\N
9703,Dahigaon,At Dahigaon,Chunchale Road Behind JDCC Bank Dahigaon,,Maharashatra,425301.0,,21.200097,75.677515,0.0,SubCentre,Maharashtra,Jalgaon,Yawal,Yawal
9704,UFWC ESIS (GOI Type 1),ESIS Hospital,Ulhasnagar 3,Near Central Hospital,Ulhasnagar 3,421003.0,2512706733,19.23,73.16,0.0,Urban Health Centre,Maharashtra,Thane,Ulhasnagar,\N
9705,Thana,primary health centre thana,\N,,"thana,thanatola,surkuda,dhobitola,makkitola",441902.0,07189-246315,21.344386,80.29357900000001,0.0,Primary Health Centre,Maharashtra,Gondiya *,Amgaon,Amgaon
9706,Lakhori,sc lakhori,sc lakhori,NERAS ARUWEDIK DISPENSARI LAKHORI,,441804.0,,21.0895567,79.84928120000001,0.0,SubCentre,Maharashtra,Bhandara,Lakhani,Lakhani
9707,karli,,Karli,Karli,Karli Vengurla,416523.0,,16.021507999999997,73.836939,0.0,SubCentre,Maharashtra,Sindhudurg,Vengurla,Vengurla
9708,Dongerkinhi,sub Centre Dongerkinhi,,,"Sub District - Patoda, Village - Dongerkinhi",413329.0,,18.9241456,75.4381143,0.0,SubCentre,Maharashtra,Beed,Patoda,Patoda
9709,mandar,Health Sub Center Mandar,Near Z.P.School,Near Z.P.School,At. Post Mandar  Ta. Wani. Dist Yavatmal,445304.0,,20.0051288,78.9767647,0.0,SubCentre,Maharashtra,Yavatmal,Wani,Wani
9710,aravali,Arawali Soushodhan Kendra,Arawali,Near Primary School Arawali No 1,Gawdhad wadi,416518.0,,15.782520000000002,73.67418,9.0,SubCentre,Maharashtra,Sindhudurg,Vengurla,Vengurla
9711,Naya Akola,,,,At Post Naya Akola,444601.0,,20.9414,77.7309,0.0,SubCentre,Maharashtra,Amravati,Amravati,Amravati
9712,Zilangpati,subcenter,,,zilangpati,444702.0,,21.5861,77.2029,0.0,SubCentre,Maharashtra,Amravati,Dharni,Dharni
9713,Galleborgaon,,,,Galleborgaon,431002.0,,20.09110556,75.12075,0.0,SubCentre,Maharashtra,Aurangabad,Khuldabad,Khultabad
9714,Nagapur,subcenter Navnagapur,nagapur road,Near grampanchayat,Navnagapur,414111.0,9850943957,19.153573,74.699591,0.0,SubCentre,Maharashtra,Ahmadnagar,Nagar,Nagar
9715,Beds 50-Jahangir Hospital,32,Sassoon Road,Near Pune Station,"Pune Station, Pune",411001.0,020 6681 9999,18.529602899999997,73.87601540000001,556.0,Sub-District Hospital,Maharashtra,Pune,Pune City,Pune City
9716,Borgaon khu.,Subcenter Borgaon Khu,Borgaon Khu,Near Grampanchayat,Borgaon Khu,440013.0,,21.559755,78.811111,0.0,SubCentre,Maharashtra,Nagpur,Kalameshwar,Kalmeshwar
9717,Kehala,Sub Centre Kehala,Kehala,At Post ASEGAON,Taluka Jintur,431509.0,,19.6854018,76.72571579999999,407.0,SubCentre,Maharashtra,Parbhani,Jintur,Jintur
9718,Kanur Kh.,,Changad Amboli Road,Near Kaju Factory,Kanur Kh.,416507.0,02320 227125,15.94,74.17,0.0,Primary Health Centre,Maharashtra,Kolhapur,Chandgad,Chandgad
9719,Nimgavhan,SC - Nimgavhan,,,Sub Centre - Nimgavhan,425414.0,,21.91926,74.197388,0.0,SubCentre,Maharashtra,Nandurbar,Akrani,Akrani
9720,Manjare,,,Near Manjare PHC,"At-Post-Manjare, Tal-Shahuwadi, Dist-Kolhapur",416106.0,-,16.91,73.94,0.0,SubCentre,Maharashtra,Kolhapur,Shahuwadi,Shahuwadi
9721,Ashiv,Ashiv,Ashiv,Ashiv,Ashiv,413520.0,02383-234602,18.091894699999997,76.35215140000001,0.0,SubCentre,Maharashtra,Latur,Ausa,Ausa
9722,Pimplas,SC PIMPLAS,AURNGABAD ROAD,GANESH MANDIR,PIMPLAS,422301.0,,19.9623,73.86448,0.0,SubCentre,Maharashtra,Nashik,Niphad,Niphad
9723,Salape,Salape,Rohidaswadi,Rashion Shop,Rohidaswadi,415802.0,2351234003,16.92974,73.6501,0.0,SubCentre,Maharashtra,Ratnagiri,Lanja,Lanja
9724,Gaudgaon,Primary Health Centre Gaudgaon,,,Gaudgaon,413406.0,2184253717,18.067885999999998,75.971283,0.0,Primary Health Centre,Maharashtra,Solapur,Barshi,Barshi
9725,Chandre,Sub-centre Bilding chandre,walva chandre road,Primary School,chandre pati road,416221.0,0,16.47,74.13,0.0,SubCentre,Maharashtra,Kolhapur,Radhanagari,Radhanagari
9726,Vidoli,vidoli,at post vidoli,phc patoda,tq mantha dist jalan,431504.0,2484270232,19.59102031,76.36937527,444.0,SubCentre,Maharashtra,Jalna,Mantha,Mantha
9727,Murumgaon,Murumgaon,Murumgaon,Murumgaon Aganwadi center,Dhanora,442606.0,,20.329577,80.477428,343.36400000000003,Primary Health Centre,Maharashtra,Gadchiroli,Dhanora,Dhanora
9728,Girgaon,SubCenter Girgaon,Hinchgiri Road,Near Zp School,Giragon,416412.0,02344-225932,17.087818,75.657907,0.0,SubCentre,Maharashtra,Sangli,Jat,Jat
9729,Kharawate,,,"at po kharwate , gram panchayat karyalay",sub centre kharwate,416805.0,2353228276,16.755836,73.588219,0.0,SubCentre,Maharashtra,Ratnagiri,Rajapur,Rajapur
9730,URBAN RCH JAWAHARNAGAR - ICHAL.,,Swami Appartment road,Near Krushna Temple,"Shashtri Society, Jawaharnagar",416115.0,0230 2420836,16.701537,74.449168,0.0,Urban Health Posts,Maharashtra,Kolhapur,Hatkanangle,Hatkangale
9731,Dhurkheda,Sub Centre Dhurkheda,,,Villege,425409.0,,21.536104,74.418853,0.0,SubCentre,Maharashtra,Nandurbar,Shahade,Shahada
9732,Hingangaon Bk,PHC Hingangaon BK,Kadepur -Pusesavali Road,,PHC Hingangaon BK,415305.0,2347230030,17.2963711,74.3315143,0.0,Primary Health Centre,Maharashtra,Sangli,Kadegaon,Kadegaon
9733,Walni,Subcenter Walani,Shiwanala Road Walani,in Frant Z.P.Sahkari Society Walani,Walani,441910.0,,20.774094100000003,79.6979157,0.0,SubCentre,Maharashtra,Bhandara,Pauni,Pauni
9734,Isapur,,Gavas Galli,Near Water Tank,Isapur,416509.0,,15.94,74.17,0.0,SubCentre,Maharashtra,Kolhapur,Chandgad,Chandgad
9735,Soygaon,,,,,,,0.0,0.0,0.0,SubCentre,Maharashtra,Nashik,Malegaon,Malegaon
9736,Akoli,Subcentre Akoli,,Near Maroti Mandir,Tq. Basmath,431512.0,,19.370507,77.107587,402.99699999999996,SubCentre,Maharashtra,Hingoli *,Basmath,Basmath(0166)
9737,Retawadi,,,,Retwadi,410505.0,,18.819653,73.92588,0.0,SubCentre,Maharashtra,Pune,Khed,Khed
9738,Changefal,Sub Centre building,Changefal,,Changefal,443203.0,,19.912329,76.346362,0.0,SubCentre,Maharashtra,Buldana,Sindkhed Raja,Sindakhed Raja
9739,Pangarne 2,SC PANGARNE 2,NEAR VASADA ROAD,NEAR REST HOUSE,HADKAICHOND,422211.0,,20.573220000000003,73.58851999999999,0.0,SubCentre,Maharashtra,Nashik,Surgana,Surgana
9740,Isavi,Isavi sub centre,Isavi sub centre shelgaon deshmukh road,Isavi sub centre,Isavi sub centre,443303.0,,20.28989328,76.74722672,0.0,SubCentre,Maharashtra,Buldana,Mehkar,Mehkar
9741,Mahagaon,Sub Centre Mahagaon,Mahagaon,Anganwadi Center,Risod,444506.0,,20.078523,76.679983,0.0,SubCentre,Maharashtra,Washim *,Risod,Risod
9742,Mirajgaon,PHC Mirajgaon,Ahamadnagar Solapur Raod,Near Petrol Pupmp,,414401.0,2489263094,18.733992999999998,75.025345,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Karjat,Karjat
9743,Aangale,,,at po aangale,sub centre aangale,416702.0,9075998078,16.662759,73.585587,0.0,SubCentre,Maharashtra,Ratnagiri,Rajapur,Rajapur
9744,Bogutagudam,SC Bogutagudam,Main road,Near Anganwadi,Po. Moyabinpetha,442504.0,,19.114678,79.899445,132.591,SubCentre,Maharashtra,Gadchiroli,Sironcha,Sironcha
